Organization,Role(s),Website,Email,Source notes
Experience for dept collection finance,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Eye of Riyadh,Sponsor,https://www.eyeofriyadh.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.eyeofriyadh.com/ during this pass
Facephi Biometría S.A.,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Fadl x ANTA,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Falak Holding,Sponsor,https://falak.sa/,—,Community Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://falak.sa/ during this pass
Family Office Ventures,Investor,https://familyoffice.ventures/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://familyoffice.ventures/ during this pass
Fast Company Middle East,Sponsor,https://fastcompanyme.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://fastcompanyme.com/ during this pass
Feddi Technologies Limited,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
FF News,Sponsor,https://ffnews.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://ffnews.com/ during this pass
Ficus Venture Capital,Investor,https://ficus.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://ficus.vc/ during this pass
Fikrah Information Technology Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Finamina,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Finance in Motion,Investor,https://www.finance-in-motion.com/,info@finance-in-motion.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.finance-in-motion.com/
Finance World,Sponsor,https://financeworld.me/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://financeworld.me/ during this pass
Financial Sector Development Program (FSDP),Exhibitor / Sponsor,https://www.vision2030.gov.sa/en/explore/programs/financial-sector-development-program,—,Host. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners (Hosted/Co-organised); No verified public role inbox found at https://www.vision2030.gov.sa/en/explore/programs/financial-sector-development-program during this pass
FinCISO AI Powered By Maral Engine,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
FinOn Technology LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Fintech Armenia,Sponsor,https://fintecharmenia.com/,—,Community Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://fintecharmenia.com/ during this pass
Fintech EurAsia,Sponsor,https://fintecheurasia.com/,—,Community Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://fintecheurasia.com/ during this pass
Fintech Futures,Sponsor,https://www.fintechfutures.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.fintechfutures.com/ during this pass
Fintech Magazine,Sponsor,https://fintechmagazine.com/,editor@fintechmagazine.com,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://fintechmagazine.com/about
Fintech Marketing,Sponsor,https://fintechmarketing.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://fintechmarketing.com/ during this pass
Fintech News Network,Sponsor,—,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; Website not confirmed from Money20/20 ME listing pages; email not invented
Fintech Saudi,Exhibitor / Sponsor,https://fintechsaudi.com/,officehours@fintechsaudi.com,Co-organiser; Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners (Hosted/Co-organised); verified on fintechsaudi.sa homepage
Fintech TV,Sponsor,https://fintechtv.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://fintechtv.com/ during this pass
Fintechtik,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Finvest Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
First Abu Dhabi Bank (FAB),Investor,https://www.bankfab.com/,ir@bankfab.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.bankfab.com/en-ae/contact-us
First Rate Ventures,Investor,https://firstrate.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://firstrate.vc/ during this pass
FIT,Sponsor,https://www.fintechintegration.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.fintechintegration.com/ during this pass
FlexFees,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Flooss Bahrain B.S.C (Closed),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Flourish Ventures,Investor,https://flourishventures.com/,—,Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2026-agenda; No verified public role inbox found at https://flourishventures.com/ during this pass
Foodics,Exhibitor / Sponsor,https://www.foodics.com/,info@foodics.com,Exhibitors; Platinum. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; verified on https://www.foodics.com
Fortinet,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Fuel Pay,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Fuluus,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Funding Souq For Debt Crowdfunding.,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
FUNDIT,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Gainz Financial Technology FZ-LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Geidea Technology Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
GEN ULUSLARARASI FUARCILIK A.S.,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
General Atlantic,Investor,https://www.generalatlantic.com/,inquiries@generalatlantic.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.generalatlantic.com/
General Catalyst,Investor,https://www.generalcatalyst.com/,info@generalcatalyst.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.generalcatalyst.com/
Ghaia Advanced Investment Holding,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
GIESECKE DEVRIENT EPAYMENTS FZCO,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Glamera,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
GlassHUB,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Global Ventures,Investor,https://www.global.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.global.vc/ during this pass
GMR INTERNATIONAL GROUP LTD,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Golden Gate Ventures,Investor,https://goldengate.vc/,hello@goldengate.vc,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.goldengate.vc/
Goldhorse Capital,Investor,https://goldhorse.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://goldhorse.capital/ during this pass
Goldman Sachs,Investor,https://www.goldmansachs.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.goldmansachs.com/ during this pass
Google Cloud,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Growth Catalyst Investment Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"Guangdong Mafa Exhibition Co.,Ltd",Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Gulf Capital,Investor,https://www.gulfcapital.com/,info@gulfcapital.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.gulfcapital.com/
Gulf International Bank (GIB),Exhibitor / Sponsor,https://www.gib.com/,—,Exhibitors; Platinum. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.gib.com/ during this pass
Hakbah,Sponsor,https://hakbah.com/,—,Platinum. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://hakbah.com/ during this pass
Hala Payments,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Halala Plus,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Haloul and Tahakam,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Hasalah Fintech Co. (Dlight),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
HashDT,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Helios Investment Partners,Investor,https://www.heliosinvestment.com/,info@heliosllp.com,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; verified on https://www.heliosinvestment.com/contact
Help Desk,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Hemaayah LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"HEVN, Inc.",Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
HI AMIRA LTD,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Himma Platform Company for Financing,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Hollat,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
HOMNA,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Hulul Sahl Alayh,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Hustle Fund,Investor,https://www.hustlefund.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.hustlefund.vc/ during this pass
hypernova capital,Investor,https://hypernova.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://hypernova.capital/ during this pass
Hyperpay Inc Saudi Information Systems Technology,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Iihata Investment Holding Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Ikhtisas AlAwla Company Ltd,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Impact46,Investor,https://impact46.sa/,info@impact46.sa,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://impact46.sa/
ina Payments Software Pvt Ltd,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Inc. Arabia,Sponsor,https://en.incarabia.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://en.incarabia.com/ during this pass
INCODI FinTech Ltd,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Incorta,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
INCORTA SMART IT SOLUTIONS L.L.C,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Infosys Finacle,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Infotech Group,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Innovate With Us Trading Co.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Insurance Authority,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Insurance Authority (IA),Sponsor,https://www.ia.gov.sa/,info@ia.gov.sa,Host. Source: https://money2020middleeast.com/sponsors-partners (Hosted/Co-organised); verified on https://www.ia.gov.sa/
Intellect Design Arena Arabia Limited,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
International Exhibition Management,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
IVAL,Sponsor,https://ival.sa/,—,Hydration Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://ival.sa/ during this pass
J.P. Morgan,Exhibitor / Investor,https://www.jpmorgan.com/,—,Exhibitors; Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.jpmorgan.com/ during this pass
Jadara Capital,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Jawlah,Sponsor,https://jawlah.sa/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://jawlah.sa/ during this pass
JeelPay,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Jisr,Exhibitor / Sponsor,https://jisr.net/,support@jisr.net,Exhibitors; Silver. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; verified on https://jisr.net/en/contact
Joa Capital,Investor,https://joa.capital/,info@joacapital.com,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; verified on https://www.joa.capital/contact
JOZO Second Information Technology Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
JustGold,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
KAFAA CAPITAL,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Kamel Pay Arabia for Information Technology,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Karty LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Khaleej Albayanat For Information Technology,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Khazna.App,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Khwarizmi Capital,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Khwarizmi Ventures,Investor,https://khwarizmiventures.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://khwarizmiventures.com/ during this pass
LAPAY,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Launch Africa Ventures,Investor,https://www.launchafrica.vc/,info@launchafrica.vc,Speaker/org listed on 2025 agenda (investor/VC-type affiliation); Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/2026-agenda; verified on https://www.launchafrica.vc/contact-us
LEAN Technologies,Sponsor,https://leantech.me/,—,Silver. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://leantech.me/ during this pass
Lean Technologies,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Ledgers Technologies FZ-LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Levl Finance Limited,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Like Card,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
LivedIn,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
LoftyInc Capital,Investor,https://loftyinc.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://loftyinc.capital/ during this pass
Lovin Riyadh,Sponsor,https://lovin.co/riyadh/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://lovin.co/riyadh/ during this pass
Lumeo,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Lync Digital,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
LYNNQ Technologies Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Madak Information Technology,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Madfuati Althakiya Company LLC (Shari),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Maharat Aldikhar for Financial Technology Holding…,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MAMBU,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
ManageEngine,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mani Company For Finance Debt Collection Service…,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mantas Insurance Solutions Inc,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Marble,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MAREV OUTSOURCING PVT LTD,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Masdr,Sponsor,https://masdr.sa/,—,Silver. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://masdr.sa/ during this pass
Masdr Data Solutions Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mashreq NeoVentures,Investor,https://www.mashreq.com/,media@mashreq.com,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; verified on https://www.mashreq.com/
Mastercard,Sponsor,https://www.mastercard.com/,—,Bag; Strategic. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.mastercard.com/ during this pass
Mastercard Middle East Africa FZ-LLC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mawrid,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MEA Finance,Sponsor,https://www.mea-finance.com/,editorial@mea-finance.com,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.mea-finance.com/contact-us/
MeemAin Edu,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mela,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Merak Capital,Investor,https://merak.capital/,contact@merak.capital,Logo/testimonial on Investor Program page; Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/investor/investor-program; verified on https://merak.capital
Merit Incentives,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MetaWorldX,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Metergrade Inc.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Metra Group,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Ministry of Investment,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MISpay,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
MithaqPay,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Modular Technologies OU,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mohasby محاسبي,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Moneyhash,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Monsha'at,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Moria Fund Global,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Moyasar,Sponsor,https://moyasar.com/,—,Silver. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://moyasar.com/ during this pass
Moyasar Financial Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mozn AI,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Mubadala,Investor,https://www.mubadala.com/,compliance@mubadala.ae,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://www.mubadala.com/en/contact-us
Mubasher Info,Sponsor,https://english.mubasher.info/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://english.mubasher.info/ during this pass
MYTM Technologies LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Nahil Computers Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Nama Ventures,Investor,https://namaventures.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://namaventures.com/ during this pass
Nama Ventures Capital Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
NAMI LUNA SPACE FINANCIAL CO,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
NearPay,Sponsor,https://nearpay.io/,—,Bronze. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://nearpay.io/ during this pass
NEARPAY,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Nearpays Technologies,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Neoleap Global Digital Financial Solution Co,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Neotek,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Network International,Sponsor,https://www.network.ae/,—,Bronze. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.network.ae/ during this pass
NETWORK INTERNATIONAL LLC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Neumetria Inc.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
